hexCode,vCode,vType
B448DF1F3C,1FE311D009,U
F88E62AB35,05108FE86F,5
537A1BEF9B,C69F48D192,5
3A2EE64402,3FF46F370B,5
F0B2998A60,6A30141E63,5
E278C54A23,58F4A43F44,5
87051C5D56,B848C8EDD4,5
8207DE8A62,FB54D5586B,5
A7F355C0BA,9FD311DEAF,5
F21E97A01A,D9804B9027,5
37CA1D5F80,80AC0552D9,5
53E07B686B,5030E607AE,5
D7A2EF7A84,3900B76AA4,5
CF2E587B5B,9C65285D3B,5
BCF514881D,ADD3289E4F,5
4A8EAC423E,399E31EBD2,5
48777B789E,2A6C004AEA,5
09306074B8,1707F4441C,5
2F0BBCA29B,6BB57C3D1F,5
F68A56B660,D6611B4E4C,5
D8B4A9A4FA,145CB726D6,5
7B09EE81BA,EBC67C0747,5
7268A318B7,C91CF59993,5
8206196CD6,F52B97C7AD,5
7F3B6F1A67,F9D6801731,5
171BA9435E,27E0622093,5
708451671,6270216BB8,5
EDE378C2F2,386E54D889,5
339BC1138F,E46A674437,5
94C56464B7,8119CD5AB6,5
862B92F233,35965E76B4,5
A356EEEA1E,55C2F93310,5
6CE4AE516A,E2EFDCD84A,5
5C80D0D79A,9C79B654A4,5
C5585CC696,A60CD5FF82,5
66DC8EEF4C,55FF2723B9,5
3853A73CC1,47D29D75C7,5
D4CB247389,2EA479EC3F,5
5E9F444D8A,A3C02D15A5,5
8B06140076,6C5B117B5D,5
5D6CC40B7F,966F4D8365,5
7.92E+13,314BAF05A1,5
25CDB42E92,51A9BA9221,5
F2BB5F87C1,4A08BAB6D7,5
8272448F3C,1AC21DE09A,5
E585C298DB,F95009A248,5
6B0FF3F1A3,16792834C1,5
7D544F0F94,B795FACEFF,5
5DC8C1BEBF,264CFD5BF5,5
198FEFBCED,9BB4C5E46D,5
5EEC11E1E6,78C8242D8E,5
40B8B769E3,155FEBD048,5
2AE64FA99A,6ED7668DA3,5
37D9DADA52,18A638B556,5
101A2BBC5D,5DDA73E755,5
BBE8A06B2E,B03B17C6E3,5
F4E43CFB31,C69241A774,5
513383DF29,6ECE524BFB,5
C918EAD622,AEFEF5FC29,5
051B166609,49E5630880,5
C488EC09D6,F2B1CA7516,5
2B34997B28,96212CBFCC,5
4A947E3D82,67B7624FC6,5
45D7997B74,EEA98804CA,5
DAF68BB19B,6E850F2B9C,5
F20EF3E9F5,6D2FEA817B,5
251A70A141,3497885643,5
068179D701,B1733EAC3B,5
A9DC41F062,5A895A2914,5
7FC5E3AB58,8FC9F79020,5
4A26DB5580,E568320B74,5
BAFF3C060A,214C326717,5
8F8C8883BC,13DD7106A3,5
D00E1F7B12,681862C63C,5
F2EE79E885,DB621E74DC,5
D43F061397,A38278911A,5
35FA0D574C,0E60875191,5
F67D6BF929,B9DB95460C,5
A321557B54,766502AC0E,5
5262D45759,DF9A774A98,5
F355C41AE4,05ACF2CC68,5
2823023B2B,23F1A62A6B,5
478CC18AA4,C5EFA179A0,5
57A6D7B7C6,816F06761C,5
9A9D850088,D8936F8DF1,5
6B338E5120,AE001B96CF,5
18EE16855D,391CA56092,5
A646BFDAA0,3448D4DA63,5
7E32DA2CC9,6C5D68E275,5
4B233DD503,CDA2D844C5,5
F81D629F72,27E9D8728C,5
E96C1EF009,725D16FB54,5
C2EFFF4678,35B9B37DD2,5
E61CF1D4C1,2031380887,5
0A419CC9BB,48C6870DC2,5
28E1533963,3723B90EF2,5
692713BBE2,6E1299CE31,5
B12524A884,7229B9C46D,5
70C129223E,79920492BA,5
8F5DE5F447,4DA3B5D3C3,5
C4F3367617,2B34DA6CA9,U
F6184F9B2E,390CFCE059,5
366D63AF40,32105E379C,5
18FE575013,66928B4B98,5
7269846952,FDF924A348,5
677C6278AA,37B3405BAE,5
7C4209B3FF,9B1A3E03DF,5
7BE5137490,22F273C37B,5
6F000908A7,5FFC25222D,5
DE37BC402F,2B09B10DFC,5
0177B8E59A,EB263ED32C,5
BE9F0562DB,7B1D45FAD4,5
0D86B17BE1,BA59448AD0,5
107BE016DB,20F03ECAA6,5
ADE30DFDBE,A33B2BFA6C,5
AEA52086AA,384A5692E6,5
E0EDD6A141,5FE28D19FF,5
E5924E8DD9,AD62E7A58C,5
3B5DFCBE76,241190FE35,5
5C0D290D67,BED9058340,5
95AEE06191,373391CB48,5
14360F784A,66B65025B4,5
C7F0BC419E,F6A713F2D1,5
AA1A2A3774,D4AE301DB5,5
8D17D1B7A9,A35DBF483B,5
2825F19134,DBBE42107A,5
D949A73417,2472B585F5,5
67AE16C8EB,A8B17CB900,5
A81C7CA18A,F6DAEA25A8,5
1BEF93678B,99EC7F0D04,5
F69512591C,63EE81FA1E,5
2AB84256D8,E1566A7BED,5
73CEAECD20,3D6BB96EAD,5
69280A11F5,AB06549436,5
AA165673EC,A5232BA6F5,5
F30326794D,CB7903D382,5
869FACD626,FF0E6069DB,5
CBA0B60DC6,CF3AEF49B2,5
4EF12A5944,E6BA86E335,5
5B219225C4,4153484147,5
59E6526929,A983953EAC,5
4A3A285438,85D0F64088,5
DE46E3E4BB,C293498F6C,5
6609C25E6A,2921A48058,5
B5C0CAC112,03D62A907C,5
D97D8E057E,00C873B7BA,5
34BC84AE39,8085B336A3,5
4B9F774DE1,26C205B45E,5
73D8A8CA5C,A6A1276465,5
11D251CAD6,91212DA926,5
030819A7AB,441644435F,5
67F2BB9044,E4C7B5073F,5
D9A6AED0A9,FFE93B2AC8,5
2755DED19C,63ECB453C8,5
9D69FF9938,57824955EC,5
928176EEB3,F24D181C91,5
8D1F8B0834,7186EBD08B,5
1CEFC2BBC4,A44A3E7097,5
E3B63FAE7A,01A8FF0BFC,5
6DFF601EA9,C7ACB50B3C,5
BE3FD2E747,6B1406EAE5,5
3761E98B22,202627D240,5
8C4B82ACC2,BA9397BCE6,5
2548603D66,F2B7F912D4,5
FC1E7E2FFF,CBDDD5B28D,5
3046132A6E,DCEF8D0146,5
A00FE26DCA,DE5CD03AC8,5
C174F371D7,9EE58231E2,5
FF6E91DB30,5F75CD34A0,5
57468D19D7,7864979AC5,5
B4B48C7D2F,A191E205E8,5
30AA81B423,E1799F62F3,5
1DB6D2598A,78AE3FE757,5
1341491C2F,6182F45401,5
92D77DFD5A,75A488500B,5
65F0245B82,F3B875E0FB,5
D87336F862,03AE2148CD,5
79190E6854,35A9E6C8BF,5
B8FDF30A5D,11A33F74E1,5
0B41600CB7,C5FFE6661A,5
D4705B5E33,751C18DD24,5
5146F2F652,A5F114AEB6,5
8955515DE1,A5A6F70C8A,5
BC2CA37F16,16D9ECA17D,5
1D7D2AC391,EF8D137676,5
276B51FCFF,73AEA98B7E,5
BBB652D123,6E42229B53,5
A26B39E26E,DA81E6F4AF,5
5311BC435E,ACDF0B2071,5
C4F1B6D9EF,E613786ED8,5
905B5B45C3,0856B8CD34,5
C09084C84C,2D3B9AAD4B,5
3EFB25165F,E5C786C5BA,5
8D91156E1F,CFFC4715C3,5
C3C902393E,6C3287D152,5
0940FF073D,00D47CC519,5
F6E8893835,4613787DA5,5
355A557B63,E4E1C465FA,5
9D25E5AEAA,DC1E90DF5F,5
8D1413C194,3E4289696A,5
401FB936C1,3C3C9EE16E,U
053F8C223B,24C20BF9DD,5
7B630745A8,6B7A1F8F77,5
82C0A753E2,E759287F85,5
E1B15588D8,1A475E381D,5
BBCE4000D5,B883F20B64,5
314E8A00BF,9F6EFC2A39,5
B41D480DD0,F0A0A014D7,5
7EFEBEA897,16C524EBFD,5
AD35AE79D5,039BB8A828,5
C3E7109ECE,A958C74128,5
73747E0980,20882E40E5,5
E0E1D1F181,54CCB6211C,5
B1F3DF19B2,4BBDB44AF7,5
5848E62D81,EBFC2C3433,5
925869E1B1,45C6F87E17,5
19C56064E4,87E5101017,5
EB2F25F2F9,9A35918266,5
C968F9E1BF,E511A374F0,5
FE0EF5017A,00A50A4F7D,5
88211FD39C,FB27A1DF5F,5
97C9C6C072,3F6CDCB744,5
8C966E2A72,6271AE4A9E,5
67E3518BD3,32E4BA75D8,5
095F188DCF,6EAB42B579,5
763F56E74C,55C3ABAE0C,5
3D442751F2,DCFFE47E7A,5
90A7A4ABBC,D811564E7E,5
2B6966A0E9,329756FB22,5
4D8A4D8D06,5359E9C22D,5
38C214BB0B,3E793DEDDB,5
098F01935A,E5A5D34811,5
7B4AF60407,1CFADA6301,5
28266B1E68,67D4F4C607,5
D6D2F51DEE,751F07147F,5
7B02C699E2,210572ABE2,5
699789A8F8,F94426BA51,5
